time,lab_section,local_R,work_with,bender
9/9/2021 16:04:28,1,TRUE,0,Airbender
9/9/2021 22:29:15,1,FALSE,0,Firebender
9/9/2021 15:39:53,1,FALSE,0,Firebender
9/8/2021 23:51:56,1,FALSE,1,Waterbender
9/9/2021 15:40:35,1,FALSE,0,Waterbender
9/9/2021 20:13:00,1,TRUE,0,Earthbender
9/10/2021 10:10:40,1,TRUE,0,Waterbender
9/10/2021 11:31:28,1,TRUE,0,Waterbender
9/9/2021 18:15:52,1,FALSE,1,Airbender
9/8/2021 22:57:58,1,FALSE,0,Airbender
9/10/2021 11:32:18,1,FALSE,0,Waterbender
9/8/2021 20:40:04,1,FALSE,0,Earthbender
9/8/2021 20:25:30,1,FALSE,0,Firebender
9/11/2021 10:55:18,1,TRUE,0,Airbender
9/9/2021 15:37:57,1,TRUE,1,Airbender
9/9/2021 15:39:27,1,FALSE,1,Waterbender
9/9/2021 15:37:19,1,FALSE,1,Airbender
9/8/2021 21:43:26,1,FALSE,1,Waterbender
9/8/2021 21:05:37,1,FALSE,1,Firebender
9/8/2021 20:56:01,1,FALSE,0,Earthbender
9/8/2021 21:00:38,1,FALSE,0,Firebender
9/9/2021 5:27:13,1,FALSE,0,Firebender
9/8/2021 23:10:25,1,FALSE,0,Airbender
9/11/2021 11:41:41,1,FALSE,0,Airbender
9/9/2021 15:59:46,1,FALSE,0,Airbender
9/9/2021 17:06:58,1,FALSE,1,Airbender
9/9/2021 15:39:15,1,FALSE,1,Earthbender
9/8/2021 22:05:16,2,FALSE,0,Airbender
9/8/2021 22:00:17,2,TRUE,0,Airbender
9/10/2021 13:03:46,2,TRUE,0,Firebender
9/14/2021 11:46:13,2,FALSE,0,Waterbender
9/10/2021 15:14:28,2,FALSE,0,Firebender
9/8/2021 23:19:50,2,TRUE,0,Airbender
9/8/2021 21:57:28,2,FALSE,1,Airbender
9/9/2021 15:38:32,2,FALSE,0,Airbender
9/8/2021 22:03:19,2,FALSE,1,Earthbender
9/9/2021 0:07:24,2,TRUE,0,Waterbender
9/9/2021 10:42:56,2,FALSE,0,Earthbender
9/11/2021 16:09:09,2,FALSE,0,Airbender
9/8/2021 20:16:58,2,FALSE,1,Waterbender
9/9/2021 15:40:03,2,FALSE,0,Waterbender
9/9/2021 15:37:58,2,FALSE,0,Earthbender
9/9/2021 15:38:28,2,FALSE,1,Waterbender
9/8/2021 22:26:04,2,TRUE,0,Firebender
9/8/2021 22:27:26,2,TRUE,0,Airbender
9/9/2021 15:09:42,2,FALSE,0,Waterbender
9/9/2021 9:48:41,2,TRUE,0,Airbender
9/9/2021 15:45:52,2,FALSE,1,Firebender
9/12/2021 21:18:14,2,FALSE,1,Waterbender
9/9/2021 15:39:51,2,FALSE,0,Airbender
9/8/2021 20:43:18,2,FALSE,0,Firebender
9/8/2021 21:14:53,3,FALSE,0,Firebender
9/9/2021 16:35:01,3,TRUE,0,Firebender
9/8/2021 21:40:08,3,FALSE,0,Waterbender
9/9/2021 8:38:56,3,FALSE,0,Firebender
9/9/2021 15:35:57,3,TRUE,0,Waterbender
9/10/2021 12:25:13,3,FALSE,0,Firebender
9/9/2021 15:42:26,3,FALSE,0,Firebender
9/8/2021 20:58:59,3,FALSE,0,Waterbender
9/12/2021 23:51:05,3,FALSE,0,Firebender
9/13/2021 0:02:15,3,FALSE,0,Waterbender
9/8/2021 20:48:20,3,FALSE,1,Airbender
9/12/2021 16:48:33,3,FALSE,0,Firebender
9/9/2021 15:25:21,3,FALSE,0,Waterbender
9/10/2021 14:42:54,3,FALSE,0,Firebender
9/10/2021 16:30:54,3,FALSE,0,Airbender
9/9/2021 15:46:58,3,FALSE,0,Firebender
9/9/2021 15:46:01,3,TRUE,0,Earthbender
9/11/2021 23:48:35,3,FALSE,0,Waterbender
9/8/2021 20:23:16,3,FALSE,1,Earthbender
9/9/2021 15:39:11,3,TRUE,1,Airbender
9/8/2021 20:17:33,3,FALSE,1,Airbender
9/14/2021 23:06:28,3,TRUE,1,Firebender
9/8/2021 20:22:27,3,FALSE,1,Waterbender
9/9/2021 15:39:07,3,FALSE,1,Firebender
9/9/2021 12:41:58,3,FALSE,1,Airbender
