section,priorCoding,useR,labPartner,bender
09 - Tu: 5:15 - 6:30pm,No,container,Anyone,Waterbender
08 - Tu: 3:30 - 4:45pm,Somewhat,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Yes,container,Specific,Firebender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Somewhat,container,Specific,Airbender
09 - Tu: 5:15 - 6:30pm,Somewhat,container,Anyone,Airbender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Waterbender
09 - Tu: 5:15 - 6:30pm,Somewhat,container,Specific,Airbender
09 - Tu: 5:15 - 6:30pm,Yes,container,Specific,Airbender
07 - Tu: 1:45 - 3:00pm,Somewhat,container,Specific,Airbender
08 - Tu: 3:30 - 4:45pm,No,local,Anyone,Airbender
07 - Tu: 1:45 - 3:00pm,No,container,Anyone,Earthbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Airbender
08 - Tu: 3:30 - 4:45pm,Somewhat,container,Specific,Waterbender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Somewhat,container,Anyone,Airbender
07 - Tu: 1:45 - 3:00pm,Yes,container,Specific,Firebender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Earthbender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Airbender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Yes,local,Specific,Firebender
07 - Tu: 1:45 - 3:00pm,No,container,Anyone,Firebender
07 - Tu: 1:45 - 3:00pm,No,container,Anyone,Waterbender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Earthbender
09 - Tu: 5:15 - 6:30pm,Yes,container,Specific,Earthbender
07 - Tu: 1:45 - 3:00pm,Yes,local,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,No,local,Anyone,Earthbender
09 - Tu: 5:15 - 6:30pm,Somewhat,container,Anyone,Waterbender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Earthbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Earthbender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Firebender
09 - Tu: 5:15 - 6:30pm,Somewhat,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,Somewhat,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,Yes,local,Specific,Firebender
07 - Tu: 1:45 - 3:00pm,Yes,container,Specific,Earthbender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Waterbender
09 - Tu: 5:15 - 6:30pm,No,container,Anyone,Waterbender
08 - Tu: 3:30 - 4:45pm,Yes,container,Anyone,Firebender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
09 - Tu: 5:15 - 6:30pm,Yes,container,Specific,Airbender
07 - Tu: 1:45 - 3:00pm,No,container,Anyone,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Yes,container,Anyone,Waterbender
09 - Tu: 5:15 - 6:30pm,Somewhat,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Earthbender
08 - Tu: 3:30 - 4:45pm,Yes,container,Specific,Airbender
08 - Tu: 3:30 - 4:45pm,Somewhat,local,Anyone,Earthbender
07 - Tu: 1:45 - 3:00pm,Yes,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Yes,container,Specific,Airbender
07 - Tu: 1:45 - 3:00pm,Yes,container,Anyone,Firebender
07 - Tu: 1:45 - 3:00pm,Somewhat,container,Specific,Firebender
08 - Tu: 3:30 - 4:45pm,No,container,Anyone,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Yes,container,Anyone,Waterbender
08 - Tu: 3:30 - 4:45pm,Somewhat,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,Somewhat,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,Somewhat,container,Anyone,Earthbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Waterbender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Firebender
09 - Tu: 5:15 - 6:30pm,Yes,container,Anyone,Firebender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Airbender
07 - Tu: 1:45 - 3:00pm,Somewhat,container,Anyone,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Anyone,Airbender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Waterbender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Earthbender
09 - Tu: 5:15 - 6:30pm,Somewhat,container,Anyone,Firebender
07 - Tu: 1:45 - 3:00pm,No,container,Specific,Waterbender
08 - Tu: 3:30 - 4:45pm,No,container,Specific,Earthbender
09 - Tu: 5:15 - 6:30pm,No,container,Specific,Earthbender
