state_icpsr,district_code,caucus
47,12,Progressive
71,31,Neither
49,32,Neither
31,3,Neither
71,44,Progressive
71,37,Progressive
24,3,Neither
71,7,Neither
40,8,Progressive
44,2,Blue Dog
72,3,Progressive
11,1,Progressive
72,1,Progressive
14,2,Progressive
13,22,Blue Dog
52,4,Neither
71,26,Neither
21,17,Neither
47,1,Neither
71,29,Neither
71,24,Neither
22,7,Progressive
14,8,Progressive
82,1,Blue Dog
21,6,Neither
43,14,Neither
49,20,Neither
71,27,Progressive
5,1,Progressive
71,39,Progressive
3,5,Progressive
13,9,Progressive
34,1,Progressive
34,5,Neither
48,6,Neither
54,9,Progressive
40,11,Neither
54,5,Blue Dog
71,46,Blue Dog
71,16,Blue Dog
1,2,Neither
71,21,Neither
33,2,Progressive
43,13,Blue Dog
62,6,Neither
49,28,Blue Dog
52,7,Neither
48,1,Blue Dog
32,3,Neither
21,7,Progressive
71,53,Neither
14,4,Progressive
72,4,Progressive
62,1,Neither
1,3,Progressive
73,1,Neither
13,19,Neither
43,10,Neither
71,11,Progressive
43,22,Neither
23,12,Progressive
49,35,Progressive
14,18,Neither
13,16,Neither
49,16,Progressive
71,18,Neither
13,13,Progressive
14,3,Progressive
31,1,Neither
49,7,Neither
21,11,Neither
43,21,Progressive
24,11,Progressive
82,2,Progressive
61,7,Progressive
71,3,Neither
21,4,Progressive
49,29,Progressive
2,2,Blue Dog
71,34,Progressive
49,15,Blue Dog
12,5,Blue Dog
49,9,Neither
61,3,Progressive
66,1,Progressive
71,10,Neither
43,20,Neither
1,5,Neither
73,10,Neither
13,26,Neither
71,25,Neither
1,4,Neither
53,5,Blue Dog
65,4,Progressive
14,6,Neither
52,5,Neither
71,2,Progressive
49,18,Progressive
73,7,Progressive
13,8,Progressive
49,30,Progressive
44,4,Progressive
24,9,Neither
3,9,Neither
21,2,Neither
3,4,Progressive
71,17,Progressive
23,5,Progressive
73,6,Neither
12,3,Progressive
25,3,Neither
61,2,Neither
21,8,Neither
4,2,Neither
14,17,Neither
5,2,Neither
73,2,Neither
1,1,Neither
23,14,Progressive
43,5,Neither
71,13,Progressive
65,3,Neither
23,9,Progressive
71,49,Progressive
44,5,Progressive
71,33,Progressive
21,3,Blue Dog
31,2,Neither
71,19,Progressive
71,47,Progressive
13,17,Neither
66,3,Neither
40,2,Neither
3,8,Neither
12,7,Neither
13,12,Progressive
13,18,Neither
71,6,Neither
67,4,Blue Dog
44,6,Neither
33,4,Neither
40,4,Neither
3,2,Progressive
71,9,Neither
13,5,Neither
13,6,Progressive
52,7,Neither
25,4,Progressive
13,25,Progressive
3,6,Neither
43,26,Progressive
43,7,Blue Dog
13,10,Progressive
71,32,Progressive
3,1,Neither
62,2,Progressive
12,1,Progressive
13,14,Progressive
61,1,Blue Dog
33,5,Progressive
12,6,Progressive
71,20,Progressive
4,1,Neither
12,9,Neither
12,10,Neither
71,12,Neither
62,7,Neither
71,52,Neither
33,7,Blue Dog
33,3,Neither
2,1,Progressive
25,2,Progressive
71,45,Progressive
3,7,Progressive
47,4,Neither
21,5,Neither
52,8,Progressive
13,4,Neither
45,2,Neither
13,11,Blue Dog
71,48,Neither
71,40,Progressive
71,36,Neither
52,2,Neither
21,1,Neither
24,13,Neither
71,38,Progressive
52,3,Neither
14,5,Progressive
21,9,Progressive
71,28,Neither
21,10,Blue Dog
72,5,Blue Dog
73,8,Neither
44,13,Blue Dog
40,3,Neither
13,15,Progressive
41,7,Neither
43,27,Neither
71,30,Progressive
12,11,Blue Dog
12,8,Neither
23,8,Neither
73,9,Progressive
43,9,Progressive
40,7,Blue Dog
71,14,Neither
61,9,Neither
23,11,Neither
13,3,Neither
71,15,Neither
71,41,Progressive
46,2,Progressive
71,5,Blue Dog
65,1,Neither
23,13,Progressive
13,20,Neither
66,2,Blue Dog
71,35,Neither
3,3,Progressive
52,6,Neither
21,14,Neither
12,2,Neither
71,51,Progressive
49,33,Neither
49,34,Neither
13,7,Progressive
22,1,Neither
43,23,Neither
71,43,Progressive
12,12,Progressive
6,1,Progressive
40,10,Neither
14,7,Neither
43,24,Progressive
51,3,Progressive
